"","seed","Group","chem","beta_lasso","mean","se","number_nonzero"
"143",8,"Non-Ortho PCBs","PCB 169",0,0.000500002439143377,0.000189547658862809,11
"144",8,"Non-Dioxin-like PCBs","PCB 194",0,0,0,0
"145",9,"Non-Dioxin-like PCBs","PCB 74",0,0,0,0
"146",9,"Non-Dioxin-like PCBs","PCB 99",0.00553929702911779,0.00207883006469387,0.000103872062126573,100
"147",9,"mPFD","PCB 118",0.010922851468957,0.00417413751941203,0.00015889455616173,100
"148",9,"Non-Dioxin-like PCBs","PCB 138",0,0,0,0
"149",9,"Non-Dioxin-like PCBs","PCB 153",0,0,0,0
"150",9,"Non-Dioxin-like PCBs","PCB 170",0,0,0,0
"151",9,"Non-Dioxin-like PCBs","PCB 180",-0.00975289889901961,-0.00041873331822929,0.000201748781189617,5
"152",9,"Non-Dioxin-like PCBs","PCB 187",0,0,0,0
"153",9,"mPFD","1,2,3,6,7,8-hxcdd",0,-1.41378886035076e-06,9.94637887211316e-07,2
"154",9,"mPFD","1,2,3,4,6,7,8-hpcdd",0,0,0,0
"155",9,"mPFD","1,2,3,4,6,7,8,9-ocdd",-0.0115794852362984,-0.000793342774437702,0.000258429964777081,11
"156",9,"mPFD","2,3,4,7,8-pncdf",0.0256160115065056,0.022785687851283,9.85868262387431e-05,100
"157",9,"mPFD","1,2,3,4,7,8-hxcdf",0,0,0,0
"158",9,"mPFD","1,2,3,6,7,8-hxcdf",0,0,0,0
"159",9,"mPFD","1,2,3,4,6,7,8-hxcdf",0.00824495994746061,0.000812445079317047,0.000192221485691723,71
"160",9,"Non-Ortho PCBs","PCB 126",0.0118304892851676,0.010731540842584,5.24662956248506e-05,100
"161",9,"Non-Ortho PCBs","PCB 169",0.00908263532321871,0.000500002439143377,0.000189547658862809,11
"162",9,"Non-Dioxin-like PCBs","PCB 194",0,0,0,0
"163",10,"Non-Dioxin-like PCBs","PCB 74",0,0,0,0
"164",10,"Non-Dioxin-like PCBs","PCB 99",0.00233239851005607,0.00207883006469387,0.000103872062126573,100
"165",10,"mPFD","PCB 118",0.0041102234433308,0.00417413751941203,0.00015889455616173,100
"166",10,"Non-Dioxin-like PCBs","PCB 138",0,0,0,0
"167",10,"Non-Dioxin-like PCBs","PCB 153",0,0,0,0
"168",10,"Non-Dioxin-like PCBs","PCB 170",0,0,0,0
"169",10,"Non-Dioxin-like PCBs","PCB 180",0,-0.00041873331822929,0.000201748781189617,5
"170",10,"Non-Dioxin-like PCBs","PCB 187",0,0,0,0
"171",10,"mPFD","1,2,3,6,7,8-hxcdd",0,-1.41378886035076e-06,9.94637887211316e-07,2
"172",10,"mPFD","1,2,3,4,6,7,8-hpcdd",0,0,0,0
"173",10,"mPFD","1,2,3,4,6,7,8,9-ocdd",0,-0.000793342774437702,0.000258429964777081,11
"174",10,"mPFD","2,3,4,7,8-pncdf",0.02309937191823,0.022785687851283,9.85868262387431e-05,100
"175",10,"mPFD","1,2,3,4,7,8-hxcdf",0,0,0,0
"176",10,"mPFD","1,2,3,6,7,8-hxcdf",0,0,0,0
"177",10,"mPFD","1,2,3,4,6,7,8-hxcdf",0.000554558937332465,0.000812445079317047,0.000192221485691723,71
"178",10,"Non-Ortho PCBs","PCB 126",0.0109212743305355,0.010731540842584,5.24662956248506e-05,100
"179",10,"Non-Ortho PCBs","PCB 169",0,0.000500002439143377,0.000189547658862809,11
"180",10,"Non-Dioxin-like PCBs","PCB 194",0,0,0,0
"181",11,"Non-Dioxin-like PCBs","PCB 74",0,0,0,0
