seed,variable,mean_weight
503,LBXF04LA,0.14068397672817246
503,LBXF05LA,0.0923699636107549
503,LBXPCBLA,0.07287641072289913
503,LBXF08LA,0.05838794538396565
503,LBXHXCLA,0.056284907385430454
503,LBX074LA,0.029503607908619812
503,LBX194LA,0.023274335110636722
503,LBXD05LA,0.02133018373475866
503,LBX118LA,0.020787146818205874
503,LBX099LA,0.015850849343171866
503,LBXD07LA,0.011070046594030653
503,LBX187LA,0.002622033716069299
503,LBX153LA,3.5156666248450335e-7
503,LBXD03LA,3.1794586881676947e-7
503,LBX170LA,2.561213974131999e-7
503,LBX180LA,2.1408827610058016e-7
503,LBX138LA,1.9881173506719791e-7
215,LBXF03LA,0.1788765404495427
215,LBX118LA,0.13419010507156615
215,LBXF04LA,0.12658916730769953
215,LBX194LA,0.123852770314718
215,LBX099LA,0.10111868030723944
215,LBXD03LA,0.076994316463339
215,LBXF08LA,0.062443475497790064
215,LBXD05LA,0.04862608191523582
215,LBX187LA,0.03302014391672677
215,LBXPCBLA,0.027657172033382485
215,LBX138LA,0.022261164950683626
215,LBXHXCLA,0.019383873095017122
215,LBX170LA,0.017980816547704833
215,LBXF05LA,0.016547290790344935
215,LBX074LA,0.005230580257407126
215,LBX153LA,0.004709432901226413
215,LBXD07LA,5.181046046130258e-4
215,LBX180LA,2.8357576285364286e-7
309,LBX118LA,0.3236530731809601
309,LBXF03LA,0.28147127394194676
309,LBXF08LA,0.09912767012549326
309,LBXF04LA,0.09172408634377026
309,LBXPCBLA,0.07947096584621753
309,LBXF05LA,0.03449190469985222
309,LBX099LA,0.030410021773178128
309,LBXD05LA,0.012187852454828212
309,LBX138LA,0.010467786295471213
309,LBX153LA,0.010400868039354909
309,LBX074LA,0.008044538857812356
309,LBXD03LA,0.0075933822606340335
309,LBX187LA,0.0066838375177833845
309,LBXD07LA,0.002473196794606063
309,LBX180LA,0.0017981735082755995
309,LBX194LA,9.127098092426826e-7
309,LBX170LA,3.0147993794293805e-7
309,LBXHXCLA,1.541700704353996e-7
442,LBXF03LA,0.17805840817159851
442,LBX118LA,0.16030625737409654
442,LBX187LA,0.15101432990656052
442,LBX138LA,0.12372324449768841
442,LBX099LA,0.11342703334459701
442,LBXPCBLA,0.10411473713197819
442,LBXF08LA,0.0632072126540163
442,LBXHXCLA,0.05362381611662268
442,LBXD03LA,0.01635159274252674
442,LBX153LA,0.008849776097607126
442,LBXD05LA,0.006012821774376414
442,LBXF04LA,0.005748008192737722
442,LBX074LA,0.005321424720891139
442,LBX170LA,0.0037682249518359292
442,LBXF05LA,0.0029722977765134734
442,LBXD07LA,0.0017819974780283892
442,LBX194LA,0.001096805912907471
442,LBX180LA,6.220111554170141e-4
152,LBX099LA,0.30567820323339984
152,LBX118LA,0.194184988026279
152,LBXF03LA,0.15574594364862412
152,LBXPCBLA,0.08081128452757466
152,LBXF05LA,0.055573986904950204
152,LBX074LA,0.04388750841547054
152,LBX194LA,0.03463600638265961
152,LBXD03LA,0.03311354475133239
152,LBX187LA,0.02648129452199638
152,LBXF08LA,0.016394310833297572
152,LBXHXCLA,0.015952497993965226
152,LBXF04LA,0.01421346334154978
152,LBX138LA,0.011818999292234351
152,LBXD07LA,0.005655748202619597
152,LBX153LA,0.0036538708063507757
152,LBXD05LA,0.002197643477497181
152,LBX180LA,3.7350993816712405e-7
152,LBX170LA,3.3213026115137727e-7
691,LBXF03LA,0.1804450199031802
691,LBXF08LA,0.1688665251282761
691,LBX074LA,0.1630868049749126
691,LBXHXCLA,0.13056705453262596
691,LBX194LA,0.12536310539589698
691,LBX099LA,0.07317444290832878
691,LBXD03LA,0.03757020994543399
691,LBX138LA,0.03563912691231989
691,LBXD05LA,0.02767530472002021
691,LBXD07LA,0.023463822216392243
691,LBXF04LA,0.022957882120419153
691,LBX118LA,0.008367681109157053
691,LBXPCBLA,0.0018057463115858862
691,LBX170LA,6.428527556041187e-4
691,LBXF05LA,3.732333034855647e-4
691,LBX187LA,7.013189009773814e-7
691,LBX153LA,3.4574635512392727e-7
691,LBX180LA,1.4069710518665667e-7
151,LBXF03LA,0.42739329227137407
151,LBX074LA,0.16018213149330487
151,LBXHXCLA,0.09331500701331959
151,LBX194LA,0.08357969813301516
151,LBXF08LA,0.052039326648638085
151,LBX153LA,0.043518731351263766
151,LBXPCBLA,0.031985066410120964
151,LBX180LA,0.026739498930712556
151,LBX099LA,0.017705022345229707
151,LBX187LA,0.01330160896227784
151,LBXF04LA,0.01304707672226173
151,LBXD03LA,0.012744122741179463
151,LBXD05LA,0.01103307208949816
151,LBX170LA,0.007662732081781935
151,LBXF05LA,0.0046473149134879516
151,LBX118LA,0.001105596174954294
151,LBX138LA,5.133970721753355e-7
151,LBXD07LA,1.8832050738285976e-7
303,LBXF03LA,0.3787755752298003
303,LBXF05LA,0.19634248974996757
303,LBX099LA,0.18284736459491951
303,LBX118LA,0.07117077551318347
303,LBXF08LA,0.049070129926982495
303,LBX194LA,0.02432949063712985
303,LBX074LA,0.020406176787541325
303,LBXPCBLA,0.018822813009978765
303,LBXHXCLA,0.013233753400415778
303,LBXF04LA,0.011730170444417246
303,LBXD05LA,0.009577531936736158
303,LBX187LA,0.008985717477330249
303,LBXD07LA,0.007711713386154179
303,LBX138LA,0.003357386647752047
303,LBX170LA,0.0030694446089588384
303,LBXD03LA,5.09930883056794e-4
303,LBX180LA,5.902738547821684e-5
303,LBX153LA,5.083801969599153e-7
556,LBXF03LA,0.3974710221653664
556,LBXPCBLA,0.21689145995445447
556,LBX118LA,0.09743954775432187
556,LBX074LA,0.07691196793579745
556,LBX153LA,0.04184794212628089
556,LBX099LA,0.03999732992128327
556,LBXF08LA,0.025351930445317587
556,LBXHXCLA,0.024595662744385703
556,LBX194LA,0.02304803856543738
556,LBXF04LA,0.02106529427570585
556,LBX187LA,0.016647420006807075
556,LBXD03LA,0.009029604943745963
556,LBX180LA,0.004836097196206427
556,LBXD05LA,0.002044950276466242
556,LBX170LA,0.001970453200174963
556,LBX138LA,8.508982759479149e-4
556,LBXF05LA,2.3664485348895155e-7
556,LBXD07LA,1.4356744882730286e-7
564,LBXF03LA,0.5054046244468006
564,LBXHXCLA,0.11585747972375743
564,LBXPCBLA,0.10446667244641522
564,LBX074LA,0.08101894818464739
564,LBXF04LA,0.06582776525311974
564,LBXF08LA,0.05967114246231545
564,LBX099LA,0.03605480419161178
564,LBX118LA,0.02381886614845476
564,LBXD03LA,0.005596867767220732
564,LBXF05LA,0.001973450027551408
